                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3697,                 4.1929,                 1.1174,                0.01208,                0.36672,                0.02877,                0.01817,                 1.0891,                 4.0479,                0.93507,              6.363e-05,              6.363e-05,              6.363e-05
                      2,                 1.2809,                 3.5155,                 1.0612,                0.02769,                0.49756,                0.06248,                0.03891,                 1.3039,                 3.8166,                0.99537,               0.000135,               0.000135,               0.000135
                      3,                 1.3136,                 2.4888,                 1.0323,                0.03023,                0.58584,                 0.1065,                0.06916,                 1.3254,                  3.343,                0.98151,             0.00020493,             0.00020493,             0.00020493
                      4,                 1.2738,                 2.0681,                 1.0451,                0.96388,                0.04718,                0.11409,                0.07473,                 1.2895,                 2.7942,                0.96526,             0.00027342,             0.00027342,             0.00027342
                      5,                 1.2115,                 1.7585,                 1.0273,                 0.9639,                0.05422,                 0.1248,                0.08417,                  1.137,                 2.5909,                0.91561,             0.00034047,             0.00034047,             0.00034047
                      6,                 1.2098,                 1.6759,                 1.0296,                0.33885,                0.27203,                0.16928,                0.11247,                 1.1141,                 2.5492,                0.93911,             0.00040608,             0.00040608,             0.00040608
                      7,                 1.1922,                 1.4944,                 1.0212,                0.96228,                0.09703,                0.20236,                0.13182,                  1.158,                 2.6459,                 1.0062,             0.00047025,             0.00047025,             0.00047025
                      8,                 1.1371,                 1.3942,                0.99608,                0.97357,                 0.1114,                0.20851,                0.13102,                   1.17,                  2.506,                  1.008,             0.00053298,             0.00053298,             0.00053298
                      9,                 1.1419,                 1.3391,                  1.005,                0.93223,                0.12603,                0.20304,                0.13275,                 1.1036,                 2.1013,                0.96802,             0.00059428,             0.00059428,             0.00059428
                     10,                 1.1425,                 1.3388,                 1.0166,                 0.9382,                0.17225,                0.22574,                0.14753,                 1.0896,                 1.7983,                0.96729,             0.00065413,             0.00065413,             0.00065413
                     11,                 1.0921,                 1.2512,                0.98111,                0.93865,                0.20725,                0.26172,                   0.17,                 1.1044,                 1.5607,                0.96481,             0.00071254,             0.00071254,             0.00071254
                     12,                 1.0743,                 1.2339,                0.99062,                0.76664,                0.21681,                0.26831,                0.17124,                 1.1215,                 1.4743,                0.97826,             0.00076951,             0.00076951,             0.00076951
                     13,                 1.0725,                 1.2194,                0.98676,                0.61199,                0.22637,                0.27855,                0.18081,                 1.0743,                 1.3737,                0.95868,             0.00080101,             0.00080101,             0.00080101
                     14,                 1.0687,                  1.196,                 0.9907,                0.59633,                0.24632,                0.28215,                0.18029,                   1.07,                 1.2729,                0.95742,             0.00080101,             0.00080101,             0.00080101
